#   DATE TIME   EVLA    EVLO   STLA    STLO  EVDP   DIST    AZI    BAZ   FAST DFAST  TLAG DTLAG   SPOL DSPOL    WBEG    WEND STAT STRIKE   DIP REGION
 2003208 1141 -20.13  -65.18  38.06  -91.24 345.3  62.85 337.06 152.35 -88.00  4.25  0.70  0.13  78.25  0.45 1057.90 1077.78  CCM -19.95 44.72 South_America
 2003208 1141 -20.13  -65.18  40.64  -77.89 345.3  61.60 349.03 166.41 -26.00  8.25  0.68  0.06 104.53  1.05 1044.09 1065.68 SSPA -19.95 44.72 South_America
 2003208 1141 -20.13  -65.18  41.01  -73.91 345.3  61.36 352.48 170.65   2.00 20.75  0.68  0.98 105.47  1.07 1043.32 1064.46  PAL -19.95 44.72 South_America
 2003208 1141 -20.13  -65.18  38.64  -90.24 345.3  63.00 338.15 153.47 -43.00  3.00  0.80  0.05  74.18  0.73 1062.09 1077.38  SLM -19.95 44.72 South_America
 2003208 1141 -20.13  -65.18  38.06  -91.24 345.3  62.85 337.06 152.35 -87.00  9.00  0.65  0.20  79.38  1.36 1060.04 1093.27  CCM -19.95 44.72 South_America
 2003208 1141 -20.13  -65.18  38.03 -120.39 345.3  77.67 318.41 127.83 -17.00  3.25  1.38  0.09  45.48  0.34 1234.70 1256.05  CMB -19.95 44.72 South_America
 2003208 1141 -20.13  -65.18  33.03  -87.00 345.3  56.83 338.10 155.34 -12.00 19.50  0.80  0.34  86.58  1.04  984.33 1007.75 LRAL -19.95 44.72 South_America
 2003208 1141 -20.13  -65.18  40.64  -77.89 345.3  61.60 349.03 166.41 -29.00 10.75  0.68  0.08 103.30  1.67 1047.71 1069.25 SSPA -19.95 44.72 South_America
 2004317 0636 -26.70  -63.32  32.68 -116.67 568.7  77.87 316.20 132.77 -58.00 20.00  0.40  0.25 359.66  1.22 1203.33 1217.64  BAR  -4.12 64.01 South_America
 2004317 0636 -26.70  -63.32  49.26  -57.50 568.7  75.79   3.93 185.37 -82.00  9.50  0.75  0.11  63.08  0.63 1182.40 1194.10 DRLN  -4.12 64.01 South_America
 2004317 0636 -26.70  -63.32  29.96  -95.84 568.7  64.37 328.84 147.77 -25.00 18.50  0.38  0.18  22.93  1.08 1042.89 1066.70  HKT  -4.12 64.01 South_America
 2004317 0636 -26.70  -63.32  30.48  -99.80 568.7  66.71 326.03 144.61  67.00  8.75  0.45  0.05 196.48  0.54 1072.60 1090.21  JCT  -4.12 64.01 South_America
 2004318 0733 -26.75  -63.36  29.96  -95.84 573.1  64.40 328.89 147.83 -47.00  6.50  0.68  0.12  19.02  0.52 1046.81 1063.99  HKT  -4.13 63.73 South_America
 2005080 1243 -24.68  -63.51  42.30  -83.66 567.1  69.20 344.14 160.42 -24.00 15.75  1.00  0.35  78.82  1.29 1100.83 1122.14  AAM   0.80 64.07 South_America
 2005313 1133  -1.04  -76.98  38.03 -120.39 247.6  55.77 318.98 123.80   6.00  9.75  1.70  0.18  58.80  1.43  994.42 1010.29  CMB -33.73 20.26 South_America
 2006265 0232 -26.39  -63.63  38.06  -91.24 594.0  69.14 336.95 153.58 -33.00  2.00  1.63  0.16  47.30  0.54 1107.18 1118.02  CCM  -7.70 60.87 South_America
 2006265 0232 -26.39  -63.63  30.48  -99.80 594.0  66.30 326.19 144.68 -85.00  7.25  0.38  0.06  30.78  0.69 1073.85 1087.94  JCT  -7.70 60.87 South_America
 2006317 0126 -25.48  -63.16  38.06  -91.24 589.2  68.48 336.45 152.78  75.00  8.75  1.13  0.39 242.22  0.67 1095.75 1116.40  CCM  -1.83 65.60 South_America
 2006317 0126 -25.48  -63.16  38.64  -90.24 589.2  68.64 337.49 153.78 -67.00 10.75  0.75  0.12  59.23  0.65 1096.82 1120.20  SLM  -1.83 65.60 South_America
 2007202 1327  -8.10  -71.30  49.26  -57.50 644.0  58.38  10.57 196.10 -72.00  6.50  0.82  0.10  76.57  0.82  968.84  977.57 DRLN -13.12 67.18 South_America
 2007202 1327  -8.10  -71.30  42.02 -117.67 644.0  65.43 323.63 128.00  -8.00  5.75  1.02  0.07  28.46  2.03 1053.36 1071.57 L09A -13.12 67.18 South_America
